Age,Language,Sex,Marital,Has_Credit,Field,Month_of_birth,Day_of_birth,Region,Number_of_credits,Linked_cards,INPS_mln_sum,INPS_yes_no,Score_level,Score_class,Changed_phone_number,y
30,2,2,4,1,0,6,1,12,2,1,1,1,0,0,1,0
43,1,2,4,1,0,10,1,12,2,1,2,0,0,0,1,0
24,1,2,6,1,0,3,1,13,2,1,1,0,0,0,2,0
39,1,2,4,1,0,12,1,12,1,1,1,0,0,0,1,0
31,1,1,1,1,0,7,1,13,1,1,1,0,0,0,1,0
26,1,2,6,1,0,9,1,12,1,2,1,0,0,0,1,0
45,1,2,4,1,0,8,1,12,2,1,1,1,0,0,1,0
29,1,2,4,1,0,5,1,12,1,1,1,0,0,0,1,0
21,2,1,7,1,0,7,1,12,1,1,1,0,0,0,1,0
47,1,1,5,1,0,8,1,12,1,2,1,0,0,0,1,0
44,1,2,4,1,0,3,1,12,1,2,1,1,0,0,1,0
41,1,2,4,1,0,8,1,13,1,1,1,0,0,0,2,0
34,1,2,4,1,0,9,1,12,2,1,1,0,3,7,1,0
30,1,1,7,1,0,4,1,12,1,1,1,0,0,0,1,0
27,2,2,4,1,0,3,1,12,1,1,1,1,0,0,1,0
34,2,2,6,1,0,2,1,12,2,2,1,0,0,0,1,0
34,2,2,4,1,0,9,1,12,1,1,1,0,0,0,1,0
36,2,2,4,1,0,9,1,13,1,1,1,1,0,0,1,0
40,1,2,6,1,0,4,1,12,2,1,1,1,0,0,1,0
39,1,1,5,1,0,1,1,12,1,0,2,0,0,0,1,0
26,1,2,6,1,0,3,1,12,1,1,1,0,0,0,1,0
25,1,2,6,1,0,7,1,12,1,1,1,0,0,0,1,0
28,1,1,5,1,0,8,1,12,1,1,2,1,0,0,1,0
27,1,2,4,1,0,2,1,4,2,1,2,1,0,0,1,0
23,2,2,6,1,0,7,1,13,4,1,1,0,0,0,1,0
29,1,2,4,1,0,4,1,12,1,1,2,0,0,0,1,0
24,1,2,4,1,0,6,1,13,1,1,1,1,0,0,1,0
36,1,1,5,1,0,1,1,12,1,1,1,0,0,0,1,0
33,1,2,4,1,0,3,1,13,1,1,1,1,0,0,1,0
30,2,2,4,1,0,2,1,12,2,2,1,1,0,0,1,0
43,1,1,5,1,0,5,1,12,1,2,1,0,0,0,1,0
26,1,2,6,1,0,1,1,12,1,1,1,0,0,0,1,0
30,1,2,4,1,0,10,1,12,1,1,1,0,0,0,1,0
38,1,1,5,1,0,3,1,12,1,0,1,0,0,0,1,0
50,1,1,5,1,0,3,1,13,1,1,1,1,0,0,1,0
44,1,1,5,1,0,10,1,12,1,2,1,0,0,0,1,0
28,1,2,4,1,0,6,1,12,1,1,1,0,0,0,1,0
32,1,2,4,1,0,6,1,13,2,1,1,1,0,0,1,0
54,1,2,4,1,0,9,1,13,1,1,1,0,0,0,1,0
34,2,2,4,1,0,1,1,13,2,1,1,1,0,0,1,0
61,1,1,5,1,0,8,1,13,1,1,2,0,0,0,1,0
28,1,1,5,1,0,6,1,12,2,1,1,0,0,0,1,0
31,1,2,4,1,0,5,1,12,1,1,1,0,0,0,1,0
23,1,2,6,1,0,4,1,13,1,1,1,0,0,0,1,0
40,1,2,4,1,0,7,1,13,1,1,1,0,0,0,1,0
25,1,2,6,1,0,1,1,12,1,2,1,0,0,0,1,0
39,1,1,5,1,0,11,1,0,1,1,1,0,0,0,1,0
24,2,2,4,1,0,2,1,13,1,1,2,1,0,0,1,0
30,1,2,4,1,0,8,1,12,1,1,2,0,0,0,1,0
21,1,2,6,1,0,12,1,13,1,1,1,1,0,0,1,0
29,1,2,4,1,0,10,1,13,1,1,1,0,0,0,1,0
35,1,2,4,1,0,5,1,13,3,2,1,1,0,0,1,0
24,1,2,4,1,0,2,1,13,1,1,1,1,0,0,1,0
41,1,2,4,1,0,6,1,12,1,1,1,0,0,0,1,0
51,1,1,5,1,0,1,1,12,1,1,1,0,0,0,1,0
31,1,2,4,1,0,8,1,12,1,1,2,0,0,0,1,0
24,2,2,6,1,0,9,1,13,2,1,1,1,0,0,1,0
37,1,1,5,1,0,5,1,13,1,2,1,0,0,0,1,0
28,1,2,4,1,0,3,1,13,1,1,1,0,0,0,1,0
34,1,1,5,1,0,3,1,13,2,1,1,1,0,0,2,0
23,1,2,6,1,0,1,1,12,2,3,1,1,0,0,1,0
33,2,1,5,1,0,3,1,13,1,1,2,1,0,0,1,0
45,1,2,4,1,0,7,1,13,3,1,1,0,0,0,1,0
47,1,2,4,1,0,1,1,13,2,1,1,0,0,0,1,0
24,1,2,6,1,0,4,1,13,2,1,2,0,0,0,1,0
29,1,2,4,1,0,7,1,13,1,2,1,1,0,0,1,0
29,1,2,6,1,0,11,1,13,1,1,1,0,0,0,1,0
26,1,2,6,1,0,12,1,13,1,1,1,0,0,0,1,0
26,1,2,4,1,0,11,1,12,1,1,2,1,0,0,1,0
31,1,2,4,1,0,5,1,13,2,1,1,0,0,0,1,0
35,1,2,4,1,0,9,1,13,1,1,1,0,0,0,1,0
29,1,2,4,1,0,12,1,13,1,1,1,0,0,0,2,0
34,1,2,4,1,0,3,1,13,2,1,2,1,0,0,1,0
36,1,1,5,1,0,8,1,13,2,1,1,0,0,0,1,0
31,1,2,4,1,0,5,1,13,1,1,1,0,0,0,1,0
39,1,2,4,1,0,6,1,13,1,1,1,0,0,0,1,0
34,2,2,4,1,0,7,1,13,1,1,1,0,0,0,1,0
41,1,1,5,1,0,10,1,13,1,1,1,0,0,0,1,0
28,1,2,4,1,0,5,1,12,2,1,1,0,0,0,1,0
28,2,2,6,1,0,5,1,12,1,1,1,1,0,0,1,0
24,1,1,7,1,0,1,1,13,1,1,1,0,0,0,1,0
34,1,1,2,1,0,4,1,13,1,2,1,0,0,0,1,0
28,1,2,4,1,0,8,1,13,1,1,1,0,0,0,1,0
46,2,1,5,1,0,2,1,13,1,1,1,0,0,0,1,0
26,2,1,7,1,0,6,1,14,1,2,1,1,0,0,1,0
33,2,2,4,1,0,5,1,8,2,2,1,0,0,0,1,0
42,1,1,2,1,0,10,1,13,2,1,1,0,0,0,1,0
39,1,2,4,1,0,10,1,13,1,2,1,0,0,0,1,0
30,1,2,4,1,0,3,1,13,1,2,1,1,0,0,1,0
44,1,2,6,1,0,9,1,12,1,1,1,0,0,0,1,0
31,1,2,4,1,0,5,1,8,2,1,1,1,0,0,1,0
71,1,2,4,1,0,2,1,12,3,2,1,0,0,0,2,0
67,1,1,5,1,0,5,1,12,2,1,1,0,0,0,1,0
25,1,1,7,1,0,5,1,13,1,1,1,0,0,0,1,0
26,1,2,6,1,0,6,1,13,1,1,1,0,0,0,1,0
38,1,1,5,1,0,5,1,13,1,1,1,0,0,0,1,0
27,2,2,6,1,0,10,1,13,1,1,1,0,0,0,1,0
25,1,2,6,1,0,10,1,13,2,4,1,0,0,0,1,0
25,1,2,6,1,0,7,1,13,1,1,1,0,0,0,1,0
44,2,2,4,1,0,4,1,13,2,1,1,1,0,0,1,0
27,1,2,6,1,0,4,1,12,2,1,1,0,0,0,1,0
34,2,1,7,1,0,12,1,12,1,1,1,1,0,0,1,0
30,1,2,6,1,0,3,1,13,1,2,1,0,0,0,1,0
29,1,1,1,1,0,8,1,13,2,1,2,1,0,0,1,0
30,1,1,7,1,0,6,1,13,2,1,1,1,0,0,1,0
28,1,2,4,1,0,8,1,13,1,1,3,1,0,0,2,0
24,1,2,6,1,0,6,1,13,1,1,1,0,0,0,1,0
28,1,2,4,1,0,5,1,12,4,1,3,1,0,0,1,0
34,1,2,4,1,0,7,1,13,1,2,1,0,0,0,1,0
39,1,2,4,1,0,4,1,13,1,2,2,1,0,0,1,0
34,1,2,4,1,0,11,1,13,2,1,2,0,0,0,3,0
29,1,2,4,1,0,12,1,13,1,1,2,0,0,0,1,0
25,1,2,6,1,0,2,1,13,2,1,1,1,0,0,1,0
33,1,1,5,1,0,5,1,13,1,1,1,1,0,0,2,0
35,1,1,7,1,0,10,1,13,1,1,1,0,0,0,1,0
29,1,2,4,1,0,8,1,13,1,2,1,1,0,0,1,0
36,1,1,2,1,0,8,1,12,1,3,1,1,0,0,1,0
32,1,2,6,1,0,8,1,13,1,1,1,0,0,0,1,0
29,1,2,4,1,0,7,1,3,2,1,1,1,0,0,1,0
44,1,1,5,1,0,11,1,13,1,4,1,1,0,0,1,0
26,1,1,7,1,0,2,1,10,1,1,1,0,0,0,1,0
33,1,2,6,1,0,12,1,11,1,1,1,0,0,0,1,0
23,1,1,5,1,0,8,1,12,1,1,1,1,0,0,1,0
48,1,2,4,1,0,5,1,12,2,1,1,1,0,0,1,0
23,2,2,6,1,0,3,1,13,1,1,1,0,0,0,1,0
25,1,2,6,1,0,4,1,13,1,1,1,1,0,0,1,0
32,1,1,5,1,0,8,1,12,1,1,1,0,0,0,1,0
38,2,1,5,1,0,4,1,13,1,1,1,0,0,0,1,0
27,1,2,4,1,0,12,1,8,1,1,1,0,0,0,1,0
29,1,2,4,1,0,9,1,12,1,1,1,0,0,0,1,0
42,1,2,4,1,0,6,1,12,2,2,1,0,0,0,1,0
32,1,2,4,1,0,8,1,12,2,1,1,0,0,0,1,0
24,1,2,6,1,0,3,1,12,1,1,1,1,0,0,1,0
36,1,2,4,1,0,4,1,13,1,1,1,0,0,0,1,0
48,1,2,1,1,0,8,1,4,1,1,1,0,0,0,3,0
28,1,2,6,1,0,3,1,12,1,1,1,1,0,0,1,0
27,1,2,4,1,0,12,1,12,1,2,1,1,0,0,1,0
